Date,Time_enter_exit_oven,Site,Oyster_ID,Oyster_length_mm,Oyster_width_mm,Whole oyster_weight_g,Wet_shell_weight_g,Wet_meat_weight_g,Dry_shell_weight_g,Dry_meat_weight_g,Index_1,Index _3,Cavity_volume,Difference_wet_dry_shell,Difference_cavity_vol_wet_meat,,,,
6/8/2023,,Snow Island ,SI_1A,75.9,59.82,61.946,42.79,10.499,40.636,1.8541,9.678951764,4.562703022,19.156,2.154,8.657,,,,
6/8/2023,,Snow Island ,SI_1B,72.09,50.64,38.351,25.807,6.133,24.653,0.999,7.963966837,4.052245163,12.544,1.154,6.411,,,,
6/8/2023,,Snow Island ,SI_1C,91,54.77,49.59,34.322,10.185,31.815,1.187,7.774430181,3.730944523,15.268,2.507,5.083,,,,
6/8/2023,,Snow Island ,SI_1D,66.41,45.98,32.812,23.062,8.427,21.609,0.821,8.420512821,3.799342866,9.75,1.453,1.323,,,,
6/8/2023,,Snow Island ,SI_1E,86.69,56.78,55.528,37.218,15.523,35.518,1.628,8.891316221,4.583591418,18.31,1.7,2.787,,,,
6/8/2023,,Dog's Head,DH_1A,80.47,54.09,42.995,29.084,8.003,26.997,1.215,8.73409532,4.500500056,13.911,2.087,5.908,,,,
6/8/2023,,Dog's Head,DH_1B,75.56,52.96,44.767,32.331,9.219,30.412,1.272,10.22836925,4.182559516,12.436,1.919,3.217,,,,
6/8/2023,,Dog's Head,DH_1C,65.93,52.9,33.816,21.986,8.684,20.565,1.343,11.35249366,6.530513008,11.83,1.421,3.146,,,,
6/8/2023,,Dog's Head,DH_1D,85.16,56.55,57.299,38.988,10.996,36.465,1.421,7.760362624,3.896887426,18.311,2.523,7.315,,,,
6/8/2023,,Dog's Head,DH_1E,72.97,53.05,31.909,22.935,6.277,21.993,0.818,9.115221752,3.719365253,8.974,0.942,2.697,,,,
6/13/2023,12:15,Snow Island ,SI_2A,66.22,55.31,50.092,-,-,36.189,0.731,#VALUE!,2.019950814,#VALUE!,#VALUE!,#VALUE!,,,,
6/13/2023,12:15,Snow Island ,SI_2B,80.91,59.71,39.282,26.031,11.021,24.29,0.927,6.995698438,3.816385344,13.251,1.741,2.23,,,,
6/13/2023,12:15,Snow Island ,SI_2C,78.64,57.81,67.457,49.742,12.796,46.539,1.523,8.597233983,3.27252412,17.715,3.203,4.919,,,,
6/13/2023,12:15,Snow Island ,SI_2D,70.6,51.77,49.984,37.052,7.798,34.837,0.947,7.322919889,2.718374142,12.932,2.215,5.134,,,,
6/13/2023,12:15,Snow Island ,SI_2E,81.17,58.85,86.653,61.764,17.021,58.603,2.085,8.377194745,3.557838336,24.889,3.161,7.868,,,,
6/13/2023,9:45:00 AM/10:45:00AM,Dog's Head,DH_2A,73.63,52.62,40.318,29.07,8.774,27.863,1.146,10.18847795,4.112981373,11.248,1.207,2.474,,,,
6/13/2023,9:45:00 AM/10:45:00AM,Dog's Head,DH_2B,63.71,48.37,29.163,20.178,4.11,19.517,0.56,6.232609905,2.869293436,8.985,0.661,4.875,,,,
6/13/2023,9:45:00 AM/10:45:00AM,Dog's Head,DH_2C,78.06,51.94,48.058,33.481,10.803,31.654,1.849,12.68436578,5.841283882,14.577,1.827,3.774,,,,
6/13/2023,9:45:00 AM/10:45:00AM,Dog's Head,DH_2D,69.83,57.87,39.451,28.235,7.723,27.196,1.05,9.361626248,3.860861891,11.216,1.039,3.493,,,,
6/13/2023,9:45:00 AM/10:45:00AM,Dog's Head,DH_2E,70.79,54.41,37.894,25.591,9.791,24.181,1.172,9.526131838,4.84678053,12.303,1.41,2.512,,,,
6/19/2023,11:00:00 AM,Snow Island ,SI_3A,67.63,56.15,62.575,41.843,11.398,39.708,1.935,9.333397646,4.873073436,20.732,2.135,9.334,,,,
6/19/2023,11:00:00 AM,Snow Island ,SI_3B,78.74,49.25,48.032,32.872,9.594,30.651,1.536,10.13192612,5.01125575,15.16,2.221,5.566,,,,
6/19/2023,11:00:00 AM,Snow Island ,SI_3C,76.53,47.64,46.89,31.556,9.215,29.961,1.344,8.764836311,4.485831581,15.334,1.595,6.119,,,,
6/19/2023,11:00:00 AM,Snow Island ,SI_3D,72.43,48.93,63.573,46.323,9.859,43.307,1.524,8.834782609,3.519061584,17.25,3.016,7.391,,,,
6/19/2023,11:00:00 AM,Snow Island ,SI_3E,72.25,44.73,50.62,36.119,9.95,34.387,1.187,8.185642369,3.451885887,14.501,1.732,4.551,,,,
6/20/2023,11:00:00 AM,Dog's Head,DH_3A,74.47,52.43,50.255,32.549,12.828,30.385,1.244,7.025866938,4.094125391,17.706,2.164,4.878,,,,
6/20/2023,11:00:00 AM,Dog's Head,DH_3B,84.47,51.35,40.661,26.878,10.227,25.216,0.942,6.834506276,3.73572335,13.783,1.662,3.556,,,,
6/20/2023,11:00:00 AM,Dog's Head,DH_3C,88.49,49.43,56.783,38.031,13.776,34.964,2.026,10.80418089,5.794531518,18.752,3.067,4.976,,,,
6/20/2023,11:00:00 AM,Dog's Head,DH_3D,87.7,57.39,60.453,41.074,11.492,38.714,2.076,10.71262707,5.362401199,19.379,2.36,7.887,,,,
6/20/2023,11:00:00 AM,Dog's Head,DH_3E,73.73,61.39,49.594,35.324,8.247,33.291,1.005,7.042747022,3.018833919,14.27,2.033,6.023,,meat after 48h,24h,difference g
6/26/2023,09:45:00,Snow Island ,SI_4A,70.58,42.7,30.771,24.406,6.571,22.419,0.841,13.21288295,3.751282394,6.365,1.987,-0.206,,0.816,0.841,0.025
6/26/2023,09:45:00,Snow Island ,SI_4B,68.18,58.02,47.425,34.471,7.832,32.96,1.167,9.008800371,3.54065534,12.954,1.511,5.122,,1.138,1.167,0.029
6/26/2023,09:45:00,Snow Island ,SI_4C,51.84,43.48,23.935,16.398,4.925,14.981,0.318,4.219185352,2.122688739,7.537,1.417,2.612,,0.305,0.318,0.013
6/26/2023,09:45:00,Snow Island ,SI_4D,91.87,48.19,63.68,48.742,9.914,45.034,1.462,9.787120096,3.246436026,14.938,3.708,5.024,,1.433,1.462,0.029
6/26/2023,09:45:00,Snow Island ,SI_4E,74.54,44.36,42.268,28.724,7.584,27.153,1.031,7.612226816,3.797002173,13.544,1.571,5.96,,1.012,1.031,0.019
6/26/2023,09:45:00,Dog's Head,DH_4A,76.82,52.24,42.851,30.944,10.025,28.299,1.491,12.52204586,5.268737411,11.907,2.645,1.882,,1.463,1.491,0.028
6/26/2023,09:45:00,Dog's Head,DH_4B,76.4,49.38,37.939,27.025,10.054,25.594,1.653,15.14568444,6.458544971,10.914,1.431,0.86,,1.611,1.653,0.042
6/26/2023,09:45:00,Dog's Head,DH_4C,97.11,58.01,62.821,44.729,15.816,42.333,2.79,15.42118063,6.590603076,18.092,2.396,2.276,,2.697,2.79,0.093
6/26/2023,09:45:00,Dog's Head,DH_4D,72.86,60.65,36.987,25.202,8.487,23.663,1.278,10.84429359,5.400836749,11.785,1.539,3.298,,1.244,1.278,0.034
6/26/2023,09:45:00,Dog's Head,DH_4E,89.08,57.91,61.182,44.625,12.66,41.968,2.293,13.84912726,5.463686618,16.557,2.657,3.897,,2.246,2.293,0.047
7/6/2023,,Snow Island ,SI_5A,70.01,52.4,41.32,28.554,11.241,27.004,1.321,10.34779884,4.891867871,12.766,1.55,1.525,,,,0.0359
7/6/2023,,Snow Island ,SI_5B,83.98,50.3,60.851,42.358,16.653,40.452,2.213,11.9666901,5.470681301,18.493,1.906,1.84,,,,
7/6/2023,,Snow Island ,SI_5C,80.78,60.68,60.046,38.57,,37.136,3.037,14.14136711,8.178048255,21.476,1.434,21.476,,,,
7/6/2023,,Snow Island ,SI_5D,79.7,53.69,54.922,36.862,16.062,33.6,2.208,12.22591362,6.571428571,18.06,3.262,1.998,,,,
7/6/2023,,Snow Island ,SI_5E,63.36,51.77,38.069,27.713,7.608,26.154,1.011,9.762456547,3.865565497,10.356,1.559,2.748,,,,
7/6/2023,,Dog's Head,DH_5A,74.19,57.1,44.927,31.047,11.112,29.765,2.501,18.01873199,8.402486141,13.88,1.282,2.768,,,,
7/6/2023,,Dog's Head,DH_5B,64.53,40.56,22.529,14.313,5.622,13.324,0.623,7.582765336,4.675773041,8.216,0.989,2.594,,,,
7/6/2023,,Dog's Head,DH_5C,90.78,65.47,56.899,38.813,11.198,36.261,1.575,8.708393232,4.343509556,18.086,2.552,6.888,,,,
7/6/2023,,Dog's Head,DH_5D,88.74,66.55,55.812,40.087,11.727,35.8,2.091,13.2972973,5.840782123,15.725,4.287,3.998,,,,
7/6/2023,,Dog's Head,DH_5E,86.57,58.39,43.148,29.624,12.201,27.241,2.034,15.03992902,7.466686245,13.524,2.383,1.323,,,,
7/12/2023,11:30:00 AM/10:30AM,Snow Island ,SI_6A,79.2,54.33,55.165,39.769,12.213,38.103,1.44,9.353078722,3.779229982,15.396,1.666,3.183,,,,
7/12/2023,11:30:00 AM/10:30AM,Snow Island ,SI_6B,80.18,63.79,49.175,33.681,9.994,31.045,1.221,7.880469859,3.933000483,15.494,2.636,5.5,,,,
7/12/2023,11:30:00 AM/10:30AM,Snow Island ,SI_6C,76.58,43.57,44.649,29.211,10.313,27.811,0.934,6.050006478,3.358383373,15.438,1.4,5.125,,,,
7/12/2023,11:30:00 AM/10:30AM,Snow Island ,SI_6D,98.7,49.68,42.632,28.774,7.573,26.122,0.541,3.903882234,2.071051221,13.858,2.652,6.285,,,,
7/12/2023,11:30:00 AM/10:30AM,Snow Island ,SI_6E,87.64,68.9,91.886,66.405,22.053,62.189,3.853,15.1210706,6.195629452,25.481,4.216,3.428,,,,
7/12/2023,11:30:00 AM/10:30:00AM,Dog's Head,DH_6A,72.79,54.34,41.124,30.578,9.498,29.102,1.886,17.88355775,6.480654251,10.546,1.476,1.048,,,,
7/12/2023,11:30:00 AM/10:30:00AM,Dog's Head,DH_6B,85.95,51.91,51.508,34.547,11.148,32.298,1.837,10.83072932,5.687658679,16.961,2.249,5.813,,,,
7/12/2023,11:30:00 AM/10:30:00AM,Dog's Head,DH_6C,78.88,54.61,50.752,34.998,11.171,33.365,1.985,12.59997461,5.949348119,15.754,1.633,4.583,,,,
7/12/2023,11:30:00 AM/10:30:00AM,Dog's Head,DH_6D,72.07,53.78,37.437,26.267,8.505,24.94,1.498,13.41092211,6.006415397,11.17,1.327,2.665,,,,
7/12/2023,11:30:00 AM/10:30:00AM,Dog's Head,DH_6E,69.17,57.7,42.758,27.723,11.334,26.088,1.17,7.781842368,4.484820607,15.035,1.635,3.701,,,,
7/20/2023,15:19,Snow Island ,SI_7A,71.66,57.34,48.928,33.07,10.369,30.904,0.874,5.511413797,2.828112866,15.858,2.166,5.489,,,,
7/20/2023,15:19,Snow Island ,SI_7B,73.61,42.91,33.862,24.118,9.025,21.647,0.753,7.727832512,3.478542061,9.744,2.471,0.719,,,,
7/20/2023,15:19,Snow Island ,SI_7C,75.63,44.21,52.525,36.361,10.319,33.736,1.079,6.675327889,3.198363766,16.164,2.625,5.845,,,,
7/20/2023,15:19,Snow Island ,SI_7D,71.47,46.09,41.246,29.384,7.717,25.997,0.826,6.963412578,3.177289687,11.862,3.387,4.145,,,,
7/20/2023,15:19,Snow Island ,SI_7E,65.71,51,36.562,26.006,9.142,24.223,1.138,10.78059871,4.698014284,10.556,1.783,1.414,,,,
7/20/2023,15:19,Dog's Head,DH_7A,57.28,60.57,31.762,21.708,6.963,19.517,1.024,10.18500099,5.246707998,10.054,2.191,3.091,,,,
7/20/2023,15:19,Dog's Head,DH_7B,86.08,54.23,46.129,31.706,9.341,29.627,1.604,11.12112598,5.413980491,14.423,2.079,5.082,,,,
7/20/2023,15:19,Dog's Head,DH_7C,75.99,48.78,40.35,28.596,10.65,26.28,1.261,10.72826272,4.798325723,11.754,2.316,1.104,,,,
7/20/2023,15:19,Dog's Head,DH_7D,82.05,55.82,52.415,35.213,11.837,33.282,2.358,13.70770841,7.084910763,17.202,1.931,5.365,,,,
7/20/2023,15:19,Dog's Head,DH_7E,83.48,56.15,58.128,39.339,11.62,37.307,1.814,9.65458513,4.862358271,18.789,2.032,7.169,,,,
7/24/2023,15:15,Snow Island ,SI_8A,83.11,59.15,55.977,40.173,11.85,37.822,1.394,8.820551759,3.68568558,15.804,2.351,3.954,,,,
7/24/2023,15:15,Snow Island ,SI_8B,81.36,48.84,61.53,45.384,10.955,40.639,1.361,8.429332342,3.348999729,16.146,4.745,5.191,,,,
7/24/2023,15:15,Snow Island ,SI_8C,73.02,55.22,53.872,37.448,12.21,35.423,1.134,6.904529956,3.201309883,16.424,2.025,4.214,,,,
7/24/2023,15:15,Snow Island ,SI_8D,73.2,52.87,52.887,37.53,10.964,34.869,1.331,8.667057368,3.817144168,15.357,2.661,4.393,,,,
7/24/2023,15:15,Dog's Head,SI_8E,83.43,55.46,50.673,38.458,8.489,34.461,1.301,10.65083913,3.775282203,12.215,3.997,3.726,,,,
7/24/2023,15:15,Dog's Head,DH_8A,70.58,46.89,34.814,23.758,8.535,22.162,1.114,10.07597685,5.026622146,11.056,1.596,2.521,,,,
7/24/2023,15:15,Dog's Head,DH_8B,91.85,52.82,63.129,43.529,13.651,38.644,1.422,7.255102041,3.679743298,19.6,4.885,5.949,,,,
7/24/2023,15:15,Dog's Head,DH_8C,78.33,49.26,47.921,33.84,8.556,32.25,1.359,9.651303174,4.213953488,14.081,1.59,5.525,,,,
7/24/2023,15:15,Dog's Head,DH_8D,76.26,59.71,51.108,33.562,10.005,31.233,1.671,9.523538128,5.35011046,17.546,2.329,7.541,,,,
7/24/2023,15:15,Dog's Head,DH_8E,81.09,50.47,46.484,31.557,9.828,29.403,1.673,11.20787834,5.689895589,14.927,2.154,5.099,,,,
7/31/2023,14:30,Snow Island ,SI_9A,78.4,62.64,65.728,49.659,13.167,46.555,1.567,9.751695812,3.365911288,16.069,3.104,2.902,,,,
7/31/2023,14:30,Snow Island ,SI_9B,95.2,69.05,75.905,57.409,12.376,53.074,1.181,6.38516436,2.225195011,18.496,4.335,6.12,,,,
7/31/2023,14:30,Snow Island ,SI_9C,79.43,62.15,54.273,36.483,13.835,33.268,1.211,6.807195053,3.640134664,17.79,3.215,3.955,,,,
7/31/2023,14:30,Snow Island ,SI_9D,77.88,72.69,71.681,49.699,17.029,46.82,2.102,9.562369211,4.489534387,21.982,2.879,4.953,,,,
7/31/2023,14:30,Snow Island ,SI_9E,98.93,60.44,72.426,49.199,14.444,44.779,1.386,5.967193353,3.095200875,23.227,4.42,8.783,,,,
8/1/2023,14:30,Dog's Head,DH_9A,71.56,46.06,32.814,21.109,8.051,19.51,1.227,10.4826997,6.289082522,11.705,1.599,3.654,,,,
8/1/2023,14:30,Dog's Head,DH_9B,69.37,57.94,35.295,22.708,8.826,21.29,1.306,10.37578454,6.134335369,12.587,1.418,3.761,,,,
8/1/2023,14:30,Dog's Head,DH_9C,68.19,47.81,35.978,24.434,7.279,22.268,0.846,7.328482328,3.799173702,11.544,2.166,4.265,,,,
8/1/2023,14:30,Dog's Head,DH_9D,76.94,45.69,34.346,21.563,8.49,19.653,1.049,8.206211374,5.33760749,12.783,1.91,4.293,,,,
8/1/2023,14:30,Dog's Head,DH_9E,89.07,51.48,44.104,29.869,9.73,28.095,1.571,11.03617843,5.591742303,14.235,1.774,4.505,,,,
