"loc_id","site_name","bay_location","year","month","week","green.crab","tomcod","winter.flounder","sandlance","mummichog","atlantic.silverside","alewife","atlantic.herring","shannon","simpson","substrate","do_mg.l","salinity_ppt","temp_degc","log.crab"
"2014_002_01","Presumpscot Moorings","Inner",2014,6,25,0,0,1,0,2,1,0,0,1.03972077083992,0.625,"mud/gravel",9.3,0.28,21.8,0
"2014_003_01","Presumpscot Moorings","Inner",2014,6,26,0,0,0,0,2,0,1,0,0.636514168294813,0.444444444444444,"mud/gravel",9.2,0.15,21,0
"2014_005_01","Presumpscot Moorings","Inner",2014,7,28,0,0,0,0,1,0,11,0,0.535961049709069,0.272189349112426,"mud/gravel",7.8,0.68,25.5,0
"2014_007_01","Presumpscot Moorings","Inner",2014,7,30,1,0,0,0,0,2,37,0,0.628052563300838,0.309135802469136,"gravel",7.8,0.36,24.6,0.693147180559945
"2014_009_01","Presumpscot Moorings","Inner",2014,8,32,0,0,0,0,0,0,0,0,0,0,"mud/gravel",7.4,0.49,23.4,0
"2014_011_01","Presumpscot Moorings","Inner",2014,8,34,0,0,0,0,0,0,0,0,0.636514168294813,0.444444444444444,"mud/gravel",8.5,0.15,21.8,0
"2015_013_01","Presumpscot Moorings","Inner",2015,6,24,0,2,0,0,10,57,1,0,0.607551419797506,0.315510204081633,NA,14,3.66,19.1,0
"2015_015_01","Presumpscot Moorings","Inner",2015,6,27,0,0,0,0,0,0,42,0,0.376770161256437,0.21875,NA,10.6,0.47,18.5,0
"2015_017_01","Presumpscot Moorings","Inner",2015,7,29,1,0,0,0,0,4,1,0,0.867563228481461,0.5,NA,8.2,1.46,24.6,0.693147180559945
"2015_019_01","Presumpscot Moorings","Inner",2015,7,31,1,0,0,0,0,16,0,0,0.708346577706171,0.345,NA,8.4,2.75,23.9,0.693147180559945
"2015_021_01","Presumpscot Moorings","Inner",2015,8,33,3,0,0,0,62,63,0,0,0.78800169750191,0.5225830078125,NA,9,1.8,23.4,1.38629436111989
"2015_023_01","Presumpscot Moorings","Inner",2015,8,35,2,0,0,0,40,0,0,0,0.191444081957717,0.090702947845805,NA,7.7,2.23,24,1.09861228866811
"2015_025_01","Presumpscot Moorings","Inner",2015,9,37,15,0,0,0,250,1,0,0,0.283627738558563,0.126615059033192,NA,6.6,22.49,21.1,2.77258872223978
"2015_027_01","Presumpscot Moorings","Inner",2015,9,39,1,0,0,0,24,0,1,0,0.324508386931071,0.144970414201183,NA,9.4,11.4,18.6,0.693147180559945
"2016_028_01","Presumpscot Moorings","Inner",2016,6,24,0,5,0,0,4,9,0,0,1.03662796885861,0.623456790123457,"gravel",11.4,2.7,20,0
"2016_030_01","Presumpscot Moorings","Inner",2016,6,26,0,0,0,0,1,10,21,0,0.861331133523076,0.50137741046832,"sand/gravel",NA,NA,NA,0
"2016_032_01","Presumpscot Moorings","Inner",2016,7,29,1,0,0,0,0,0,0,0,0,0,"gravel",9.7,3.8,25.6,0.693147180559945
"2016_034_01","Presumpscot Moorings","Inner",2016,7,30,0,0,0,0,37,0,2,0,0.892696318781125,0.394097222222222,"mud/gravel",9.5,6.45,25.3,0
"2016_036_01","Presumpscot Moorings","Inner",2016,8,32,0,0,0,0,100,33,0,0,0.560260646062333,0.373113234213353,NA,8.5,3.83,23.2,0
"2016_038_01","Presumpscot Moorings","Inner",2016,9,35,1,0,1,0,0,1196,3,0,0.0309311322043345,0.00830143628574853,NA,8.7,11.3,21.7,0.693147180559945
"2017_041_01","Presumpscot Moorings","Inner",2017,6,26,0,0,0,0,1,0,0,0,0,0,NA,8.8,1.41,23,0
"2017_043_01","Presumpscot Moorings","Inner",2017,7,28,0,0,0,0,0,6,0,0,0,0,NA,9,NA,28.1,0
"2017_047_01","Presumpscot Moorings","Inner",2017,8,32,0,0,0,0,22,270,0,0,0.267243997804432,0.139331957215237,NA,9.1,0.51,23.9,0
"2017_049_01","Presumpscot Moorings","Inner",2017,9,37,5,0,0,0,45,52,0,0,0.852309333205162,0.543060361399462,NA,9.5,3.04,20.3,1.79175946922805
"2018_050_01","Presumpscot Moorings","Inner",2018,6,24,0,0,0,0,8,2,153,5,0.387499585178427,0.167304421768708,NA,8.4,11,17.4,0
"2018_052_01","Presumpscot Moorings","Inner",2018,7,28,0,0,0,0,0,4,1,0,0.075286201052966,0.023736957223278,NA,6.8,4.54,25.2,0
"2020_053_01","Presumpscot Moorings","Inner",2020,6,26,0,0,0,0,6,2,0,0,0.848685557726417,0.493827160493827,NA,NA,NA,22.7,0
"2020_056_01","Presumpscot Moorings","Inner",2020,7,28,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0
"2020_058_01","Presumpscot Moorings","Inner",2020,7,30,0,0,0,0,0,5,0,0,0,0,NA,NA,NA,26.6,0
"2020_060_01","Presumpscot Moorings","Inner",2020,8,32,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,29.9,0
"2020_062_01","Presumpscot Moorings","Inner",2020,8,34,0,0,0,0,7,0,0,0,0,0,NA,NA,NA,23.6,0
"2020_064_01","Presumpscot Moorings","Inner",2020,9,36,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,20,0.693147180559945
"2021_067_01","Presumpscot Moorings","Inner",2021,6,24,0,0,0,0,90,2,36,0,0.669406463331619,0.42626953125,NA,12.5,2.42,21.3,0
"2021_068_01","Presumpscot Moorings","Inner",2021,6,25,0,0,0,0,0,0,0,0,0,0,NA,7.6,3.7,21.3,0
"2021_070_01","Presumpscot Moorings","Inner",2021,7,27,0,0,0,0,1,16,2,0,0.536664562484525,0.277008310249308,NA,8.1,10.45,21.5,0
"2021_072_01","Presumpscot Moorings","Inner",2021,7,29,0,0,0,0,0,1,8,0,0.348832095843032,0.197530864197531,NA,15.4,9.15,24.9,0
"2021_074_01","Presumpscot Moorings","Inner",2021,8,31,0,0,1,0,0,14,0,0,0.46341355882643,0.2265625,NA,7.5,7.83,21.3,0
"2021_077_01","Presumpscot Moorings","Inner",2021,8,33,0,0,0,0,2,0,0,0,0,0,NA,11.1,17.67,21.8,0
"2022_080_01","Presumpscot Moorings","Inner",2022,6,24,0,0,0,0,0,8,2,1,0.759547391474863,0.429752066115702,"mud",NA,4.68,20.3,0
"2022_083_01","Presumpscot Moorings","Inner",2022,6,26,0,0,0,0,0,1,0,0,0,0,"mud",NA,26.27,18.92,0
"2022_086_01","Presumpscot Moorings","Inner",2022,7,28,0,0,0,0,0,8,0,0,0.348832095843032,0.197530864197531,"mud",NA,23.41,19.21,0
"2022_092_01","Presumpscot Moorings","Inner",2022,8,31,0,0,2,0,68,25,0,0,0.722840754647001,0.429904513888889,"mud",NA,28.24,20.9,0
"2022_093_01","Presumpscot Moorings","Inner",2022,8,32,0,0,0,0,572,20,0,0,0.214338884666881,0.0869005381813317,"mud",NA,29.99,20.82,0
"2022_096_01","Presumpscot Moorings","Inner",2022,8,33,0,0,0,0,0,2,0,0,0,0,"mud",NA,27.74,19.95,0
"2022_099_01","Presumpscot Moorings","Inner",2022,9,36,0,0,0,0,1,4,0,0,0.500402423538188,0.32,"mud",NA,11.74,18.77,0
"2022_101_01","Presumpscot Moorings","Inner",2022,9,39,10,0,0,0,0,12,0,0,0.689009238476659,0.495867768595041,"mud",NA,25.7,15.22,2.39789527279837
