date,Site,Oyster_ID,Oyster_length_mm,Oyster_width_mm,Whole oyster_weight_g,Wet_shell_weight_g,Wet_meat_weight_g,Dry_shell_weight_g,Dry_meat_weight_g,notes
6/8/2023,Dogs Head,DH_1A,80.47,54.09,42.995,29.084,8.003,26.997,1.215,
6/8/2023,Dogs Head,DH_1B,75.56,52.96,44.767,32.331,9.219,30.412,1.272,
6/8/2023,Dogs Head,DH_1C,65.93,52.9,33.816,21.986,8.684,20.565,1.343,
6/8/2023,Dogs Head,DH_1D,85.16,56.55,57.299,38.988,10.996,36.465,1.421,
6/8/2023,Dogs Head,DH_1E,72.97,53.05,31.909,22.935,6.277,21.993,0.818,
6/8/2023,Snow Island,SI_1A,75.9,59.82,61.946,42.79,10.499,40.636,1.8541,
6/8/2023,Snow Island,SI_1B,72.09,50.64,38.351,25.807,6.133,24.653,0.999,
6/8/2023,Snow Island,SI_1C,91,54.77,49.59,34.322,10.185,31.815,1.187,
6/8/2023,Snow Island,SI_1D,66.41,45.98,32.812,23.062,8.427,21.609,0.821,
6/8/2023,Snow Island,SI_1E,86.69,56.78,55.528,37.218,15.523,35.518,1.628,
6/13/2023,Dogs Head,DH_2A,73.63,52.62,40.318,29.07,8.774,27.863,1.146,
6/13/2023,Dogs Head,DH_2B,63.71,48.37,29.163,20.178,4.11,19.517,0.56,
6/13/2023,Dogs Head,DH_2C,78.06,51.94,48.058,33.481,10.803,31.654,1.849,
6/13/2023,Dogs Head,DH_2D,69.83,57.87,39.451,28.235,7.723,27.196,1.05,
6/13/2023,Dogs Head,DH_2E,70.79,54.41,37.894,25.591,9.791,24.181,1.172,
6/13/2023,Snow Island,SI_2A,66.22,55.31,50.092,37.2,12.892,36.189,0.731,
6/13/2023,Snow Island,SI_2B,80.91,59.71,39.282,26.031,11.021,24.29,0.927,
6/13/2023,Snow Island,SI_2C,78.64,57.81,67.457,49.742,12.796,46.539,1.523,
6/13/2023,Snow Island,SI_2D,70.6,51.77,49.984,37.052,7.798,34.837,0.947,
6/13/2023,Snow Island,SI_2E,81.17,58.85,86.653,61.764,17.021,58.603,2.085,
6/19/2023,Dogs Head,DH_3A,74.47,52.43,50.255,32.549,12.828,30.385,1.244,
6/19/2023,Dogs Head,DH_3B,84.47,51.35,40.661,26.878,10.227,25.216,0.942,
6/19/2023,Dogs Head,DH_3C,88.49,49.43,56.783,38.031,13.776,34.964,2.026,
6/19/2023,Dogs Head,DH_3D,87.7,57.39,60.453,41.074,11.492,38.714,2.076,
6/19/2023,Dogs Head,DH_3E,73.73,61.39,49.594,35.324,8.247,33.291,1.005,meat after 48h
6/19/2023,Snow Island,SI_3A,67.63,56.15,62.575,41.843,11.398,39.708,1.935,
6/19/2023,Snow Island,SI_3B,78.74,49.25,48.032,32.872,9.594,30.651,1.536,
6/19/2023,Snow Island,SI_3C,76.53,47.64,46.89,31.556,9.215,29.961,1.344,
6/19/2023,Snow Island,SI_3D,72.43,48.93,63.573,46.323,9.859,43.307,1.524,
6/19/2023,Snow Island,SI_3E,72.25,44.73,50.62,36.119,9.95,34.387,1.187,
6/26/2023,Dogs Head,DH_4A,76.82,52.24,42.851,30.944,10.025,28.299,1.491,
6/26/2023,Dogs Head,DH_4B,76.4,49.38,37.939,27.025,10.054,25.594,1.653,
6/26/2023,Dogs Head,DH_4C,97.11,58.01,62.821,44.729,15.816,42.333,2.79,
6/26/2023,Dogs Head,DH_4D,72.86,60.65,36.987,25.202,8.487,23.663,1.278,
6/26/2023,Dogs Head,DH_4E,89.08,57.91,61.182,44.625,12.66,41.968,2.293,
6/26/2023,Snow Island,SI_4A,70.58,42.7,30.771,24.406,6.571,22.419,0.841,
6/26/2023,Snow Island,SI_4B,68.18,58.02,47.425,34.471,7.832,32.96,1.167,
6/26/2023,Snow Island,SI_4C,51.84,43.48,23.935,16.398,4.925,14.981,0.318,
6/26/2023,Snow Island,SI_4D,91.87,48.19,63.68,48.742,9.914,45.034,1.462,
6/26/2023,Snow Island,SI_4E,74.54,44.36,42.268,28.724,7.584,27.153,1.031,
7/6/2023,Dogs Head,DH_5A,74.19,57.1,44.927,31.047,11.112,29.765,2.501,
7/6/2023,Dogs Head,DH_5B,64.53,40.56,22.529,14.313,5.622,13.324,0.623,
7/6/2023,Dogs Head,DH_5C,90.78,65.47,56.899,38.813,11.198,36.261,1.575,
7/6/2023,Dogs Head,DH_5D,88.74,66.55,55.812,40.087,11.727,35.8,2.091,
7/6/2023,Dogs Head,DH_5E,86.57,58.39,43.148,29.624,12.201,27.241,2.034,
7/6/2023,Snow Island,SI_5A,70.01,52.4,41.32,28.554,11.241,27.004,1.321,
7/6/2023,Snow Island,SI_5B,83.98,50.3,60.851,42.358,16.653,40.452,2.213,
7/6/2023,Snow Island,SI_5C,80.78,60.68,60.046,38.57,21.43,37.136,3.037,
7/6/2023,Snow Island,SI_5D,79.7,53.69,54.922,36.862,16.062,33.6,2.208,
7/6/2023,Snow Island,SI_5E,63.36,51.77,38.069,27.713,7.608,26.154,1.011,
7/12/2023,Dogs Head,DH_6A,72.79,54.34,41.124,30.578,9.498,29.102,1.886,
7/12/2023,Dogs Head,DH_6B,85.95,51.91,51.508,34.547,11.148,32.298,1.837,
7/12/2023,Dogs Head,DH_6C,78.88,54.61,50.752,34.998,11.171,33.365,1.985,
7/12/2023,Dogs Head,DH_6D,72.07,53.78,37.437,26.267,8.505,24.94,1.498,
7/12/2023,Dogs Head,DH_6E,69.17,57.7,42.758,27.723,11.334,26.088,1.17,
7/12/2023,Snow Island,SI_6A,79.2,54.33,55.165,39.769,12.213,38.103,1.44,
7/12/2023,Snow Island,SI_6B,80.18,63.79,49.175,33.681,9.994,31.045,1.221,
7/12/2023,Snow Island,SI_6C,76.58,43.57,44.649,29.211,10.313,27.811,0.934,
7/12/2023,Snow Island,SI_6D,98.7,49.68,42.632,28.774,7.573,26.122,0.541,
7/12/2023,Snow Island,SI_6E,87.64,68.9,91.886,66.405,22.053,62.189,3.853,
7/20/2023,Dogs Head,DH_7A,57.28,60.57,31.762,21.708,6.963,19.517,1.024,
7/20/2023,Dogs Head,DH_7B,86.08,54.23,46.129,31.706,9.341,29.627,1.604,
7/20/2023,Dogs Head,DH_7C,75.99,48.78,40.35,28.596,10.65,26.28,1.261,
7/20/2023,Dogs Head,DH_7D,82.05,55.82,52.415,35.213,11.837,33.282,2.358,
7/20/2023,Dogs Head,DH_7E,83.48,56.15,58.128,39.339,11.62,37.307,1.814,
7/20/2023,Snow Island,SI_7A,71.66,57.34,48.928,33.07,10.369,30.904,0.874,
7/20/2023,Snow Island,SI_7B,73.61,42.91,33.862,24.118,9.025,21.647,0.753,
7/20/2023,Snow Island,SI_7C,75.63,44.21,52.525,36.361,10.319,33.736,1.079,
7/20/2023,Snow Island,SI_7D,71.47,46.09,41.246,29.384,7.717,25.997,0.826,
7/20/2023,Snow Island,SI_7E,65.71,51,36.562,26.006,9.142,24.223,1.138,
7/24/2023,Dogs Head,DH_8A,70.58,46.89,34.814,23.758,8.535,22.162,1.114,
7/24/2023,Dogs Head,DH_8B,91.85,52.82,63.129,43.529,13.651,38.644,1.422,
7/24/2023,Dogs Head,DH_8C,78.33,49.26,47.921,33.84,8.556,32.25,1.359,
7/24/2023,Dogs Head,DH_8D,76.26,59.71,51.108,33.562,10.005,31.233,1.671,
7/24/2023,Dogs Head,DH_8E,81.09,50.47,46.484,31.557,9.828,29.403,1.673,
7/24/2023,Snow Island,SI_8A,83.11,59.15,55.977,40.173,11.85,37.822,1.394,
7/24/2023,Snow Island,SI_8B,81.36,48.84,61.53,45.384,10.955,40.639,1.361,
7/24/2023,Snow Island,SI_8C,73.02,55.22,53.872,37.448,12.21,35.423,1.134,
7/24/2023,Snow Island,SI_8D,73.2,52.87,52.887,37.53,10.964,34.869,1.331,
7/24/2023,Snow Island,SI_8E,83.43,55.46,50.673,38.458,8.489,34.461,1.301,
7/31/2023,Dogs Head,DH_9A,71.56,46.06,32.814,21.109,8.051,19.51,1.227,
7/31/2023,Dogs Head,DH_9B,69.37,57.94,35.295,22.708,8.826,21.29,1.306,
7/31/2023,Dogs Head,DH_9C,68.19,47.81,35.978,24.434,7.279,22.268,0.846,
7/31/2023,Dogs Head,DH_9D,76.94,45.69,34.346,21.563,8.49,19.653,1.049,
7/31/2023,Dogs Head,DH_9E,89.07,51.48,44.104,29.869,9.73,28.095,1.571,
7/31/2023,Snow Island,SI_9A,78.4,62.64,65.728,49.659,13.167,46.555,1.567,
7/31/2023,Snow Island,SI_9B,95.2,69.05,75.905,57.409,12.376,53.074,1.181,
7/31/2023,Snow Island,SI_9C,79.43,62.15,54.273,36.483,13.835,33.268,1.211,
7/31/2023,Snow Island,SI_9D,77.88,72.69,71.681,49.699,17.029,46.82,2.102,
7/31/2023,Snow Island,SI_9E,98.93,60.44,72.426,49.199,14.444,44.779,1.386,
8/9/2023,Dogs Head,DH_10A,64.82,65.97,43.545,32.293,9.482,29.841,1.416,
8/9/2023,Dogs Head,DH_10B,71.04,61.06,46.637,31.685,9.701,29.172,2.01,
8/9/2023,Dogs Head,DH_10C,73.22,51.9,45.437,30.112,8.59,28.301,1.622,
8/9/2023,Dogs Head,DH_10D,84.26,54.87,47.324,31.095,13.459,28.544,1.792,
8/9/2023,Dogs Head,DH_10E,89.04,56.4,54.946,36.241,10.376,33.233,1.466,
8/9/2023,Snow Island,SI_10A,79.61,47.91,40.227,24.697,9.473,22.869,1.089,
8/9/2023,Snow Island,SI_10B,72.66,57.87,49.382,32.555,10.945,30.56,1.001,
8/9/2023,Snow Island,SI_10C,72.11,54.06,53.52,35.723,8.849,33.939,1.498,
8/9/2023,Snow Island,SI_10D,71.49,47.39,40.71,27.345,7.84,26.237,0.913,
8/9/2023,Snow Island,SI_10E,73.91,59.47,53.028,33.602,10.6,31.475,1.037,
10/4/2023,Dogs Head,DH_11A,90.7,51.68,67.41,46.232,16.081,40.617,2.143,
10/4/2023,Dogs Head,DH_11B,99.21,61.02,79.927,58.43,16.85,48.893,3.129,
10/4/2023,Dogs Head,DH_11C,89.54,53.34,70.393,50.157,17.17,59.81,2.743,
10/4/2023,Dogs Head,DH_11D,80.02,56.72,68.402,49.595,20.495,44.141,2.681,
10/4/2023,Dogs Head,DH_11E,81.15,64.82,67.106,49.298,19.267,47.155,2.303,
10/4/2023,Snow Island,SI_11A,103.09,50.08,60.51,43.172,14.829,41.12,1.932,
10/4/2023,Snow Island,SI_11B,97.72,63.17,77.28,53.711,19.313,53.168,2.795,
10/4/2023,Snow Island,SI_11C,110.08,63.01,90.851,65.358,13.787,47.216,2.7,
10/4/2023,Snow Island,SI_11D,101.11,60.99,66.569,47.444,17.691,45.706,2.665,
10/4/2023,Snow Island,SI_11E,84.49,52.94,69.901,50.438,15.981,44.045,2.457,
10/11/2023,Dogs Head,DH_11A,92.62,54.63,67.495,45.4,17.744,45.012,4.233,
10/11/2023,Dogs Head,DH_11B,85.78,48.54,50.557,35.024,10.911,34.083,3.632,
10/11/2023,Dogs Head,DH_11C,92.634,58.79,69.745,53.861,13.533,48.617,4.498,
10/11/2023,Dogs Head,DH_11D,90.59,61.76,66.843,48.033,15.783,47.562,5.25,
10/11/2023,Dogs Head,DH_11AE,86.26,61.62,64.151,49.33,11.828,47.312,3.57,
10/11/2023,Snow Island,SI_11A,77.66,57.31,61.928,41.606,14.929,40.101,4.47,
10/11/2023,Snow Island,SI_11B,85.19,57.19,47.525,34.899,11.373,33.862,4.049,
10/11/2023,Snow Island,SI_11C,79.35,58.71,60.228,44.315,13.343,42.632,4.451,
10/11/2023,Snow Island,SI_11D,92.45,68.22,97.278,72.63,19.161,68.991,5.651,
10/11/2023,Snow Island,SI_11E,88.11,63.92,76.377,58.113,14.886,55.196,4.624,
10/18/2023,Dogs Head,DH_12A,90.18,66.91,89.024,61.643,25.156,58.152,6.275,
10/18/2023,Dogs Head,DH_12B,95.85,59.87,86.151,60.39,20.568,56.503,5.683,
10/18/2023,Dogs Head,DH_12C,87.63,56.17,76.197,55.623,21.032,52.196,5.878,
10/18/2023,Dogs Head,DH_12D,98.24,55.31,82.413,58.659,22.422,53.068,5.025,
10/18/2023,Dogs Head,DH_12E,74.26,46.17,52.925,34.784,15.708,32.329,4.385,
10/18/2023,Snow Island,SI_12A,80.49,57.82,69.622,52.35,15.772,47.346,4.451,
10/18/2023,Snow Island,SI_12B,87.7,65,74.726,54.26,18.371,48.187,4.522,
10/18/2023,Snow Island,SI_12C,93.9,57.48,80.736,60.878,19.867,54.49,4.597,
10/18/2023,Snow Island,SI_12D,85.89,52.06,70.393,49.189,20.334,42.825,4.515,
10/18/2023,Snow Island,SI_12E,81.21,64.12,79.142,58.047,,51.454,3.679,
10/25/2023,Dogs Head,DH_13A,82.44,55.31,70.502,50.104,16.303,45.55,3.006,
10/25/2023,Dogs Head,DH_13B,78.34,64.76,56.886,42.07,12.457,39.409,2.248,
10/25/2023,Dogs Head,DH_13C,78.63,56.53,61.909,43.789,16.283,40.085,2.98,
10/25/2023,Dogs Head,DH_13D,84.23,55.92,62.784,45.509,13.355,42.059,2.406,
10/25/2023,Dogs Head,DH_13E,71.26,42.38,39.749,28.328,10.754,25.529,1.8,
10/25/2023,Snow Island,SI_13A,89.47,65.11,91.509,68.003,19.91,61.234,3.581,
10/25/2023,Snow Island,SI_13B,76.75,57.95,68.258,48.417,19.877,42.867,2.702,
10/25/2023,Snow Island,SI_13C,87.11,57.77,86.494,58.7,23.161,54.371,3.7134,
10/25/2023,Snow Island,SI_13D,86.43,50,71.712,52.049,18.238,47.831,2.207,
10/25/2023,Snow Island,SI_13E,79.07,61.55,65.764,47.424,11.121,43.29,1.999,
11/2/2023,Dogs Head,DH_14A,98.21,55.3,100.613,74.095,22.998,66.885,4.546,
11/2/2023,Dogs Head,DH_14B,78.32,48.82,56.4,42.085,13.216,38.585,1.765,
11/2/2023,Dogs Head,DH_14C,73.35,49.38,47.435,33.885,10.604,28.933,1.487,
11/2/2023,Dogs Head,DH_14D,65.7,59.65,56.922,41.204,14.67,38.512,2.27,
11/2/2023,Dogs Head,DH_14E,71.53,48.15,49.105,35.115,13.148,31.207,2.119,
11/2/2023,Snow Island,SI14_A,89.23,57.48,64.363,44.693,18.866,40.93,2.552,
11/2/2023,Snow Island,SI14_B,81.32,59.61,72.017,51.833,16.101,47.215,2.552,
11/2/2023,Snow Island,SI14_C,91.12,71,79.186,58.133,17.592,51.702,2.406,
11/2/2023,Snow Island,SI14_D,91.51,57.47,82.289,57.107,23.622,49.88,2.589,
11/2/2023,Snow Island,SI14_E,79.15,67.71,66.41,46.118,18.3,41.542,2.2,
11/9/2023,Dogs Head,DH_15A,89.18,55.87,67.078,46.88,18.146,41.85,2.556,
11/9/2023,Dogs Head,DH_15B,90.71,60.86,78.231,53.832,21.704,45.999,3.608,
11/9/2023,Dogs Head,DH_15C,83.47,59.76,84.637,61.995,18.692,58.533,3.442,
11/9/2023,Dogs Head,DH_15D,87.27,56.22,71.714,48.243,19.655,43.957,3.283,
11/9/2023,Dogs Head,DH_15E,88.54,50.97,55.495,35.303,18.348,31.123,2.783,
11/9/2023,Snow Island,SI_15A,100.1,59.16,79.58,57.088,19.243,49.441,2.416,
11/9/2023,Snow Island,SI_15B,95.11,59.04,96.457,67.983,22.998,61.496,1.961,
11/9/2023,Snow Island,SI_15C,103.45,60.54,82.335,60.161,19.673,52.347,2.242,
11/9/2023,Snow Island,SI_15D,102.32,63.85,105.919,76.906,21.909,69.557,3.562,
11/9/2023,Snow Island,SI_15E,103.2,65.74,105.125,78.571,23.74,69.945,3.373,
11/15/2023,Dogs Head,DH_16A,88.52,64.35,81.172,58.611,18.577,54.636,2.506,
11/15/2023,Dogs Head,DH_16B,89.63,50.05,72.069,50.647,17.353,46.996,2.29,
11/15/2023,Dogs Head,DH_16C,103.34,65.56,124.996,82.307,36.085,76.81,7.039,
11/15/2023,Dogs Head,DH_16D,80.82,53.08,56.963,41.547,10.915,37.932,1.317,
11/15/2023,Dogs Head,DH_16E,107.96,74.49,121.365,88.516,28.105,82.143,5.151,
11/15/2023,Snow Island,SI_16A,106.76,69.35,96.915,70.952,20.24,61.981,3.025,
11/15/2023,Snow Island,SI_16B,109.83,66.48,119.021,87.39,24.809,77.971,3.759,
11/15/2023,Snow Island,SI_16C,76.96,56.95,65.627,48.32,12.901,41.852,1.537,
11/15/2023,Snow Island,SI_16D,92.17,67.34,96.268,67.58,21.345,45.019,3.464,
11/15/2023,Snow Island,SI_16E,96.21,60.47,77.042,52.789,18.329,58.728,1.888,
11/22/2023,Dogs Head,DH_17a,95.29,66.49,101.921,76.012,25.558,72.422,4.478,
11/22/2023,Dogs Head,DH_17B,105.17,63.24,96.062,68.491,26.226,63.937,4.027,
11/22/2023,Dogs Head,DH_17C,98.74,58.96,94.697,63.817,27.854,60.377,4.048,
11/22/2023,Dogs Head,DH_17D,106.32,68.23,125.282,87.174,36.555,83.167,5.877,
11/22/2023,Dogs Head,DH_17E,98.57,59.33,85.317,58.293,26.009,54.807,4.353,
11/22/2023,Snow Island,SI_17A,87.53,70.36,77.151,57.548,17.548,51.271,2.387,
11/22/2023,Snow Island,SI_17B,83.79,58.33,68.312,49.857,17.28,44.232,2.286,
11/22/2023,Snow Island,SI_17C,78.12,57.19,65.197,47.681,14.803,42.785,2.343,
11/22/2023,Snow Island,SI_17D,71.33,57.99,53.367,37.118,14.038,34.141,1.866,
11/22/2023,Snow Island,SI_17E,68.97,52.97,56.678,42.006,14.059,38.884,2.206,
11/29/2023,Dogs Head,DH_18A,76.09,59.64,71.134,52.423,19.277,49.309,5.408,
11/29/2023,Dogs Head,DH_18B,79.9,55.45,74.384,52.884,20.848,50.486,5.3,
11/29/2023,Dogs Head,DH_18C,89.12,56.35,98.197,68.638,28.794,63.397,6.721,
11/29/2023,Dogs Head,DH_18D,82.64,60.76,75.669,55.862,19.902,50.298,5.417,
11/29/2023,Dogs Head,DH_18E,93.06,60.79,82.965,60.413,22.894,55.767,6,
11/29/2023,Snow Island,SI_18A,87.41,58.1,81.905,57.902,22.812,52.612,4.897,
11/29/2023,Snow Island,SI_18B,87.01,50.49,66.605,48.537,18.081,41.707,3.906,
11/29/2023,Snow Island,SI_18C,85.91,64.09,80.028,54.622,25.675,48.914,5.434,
11/29/2023,Snow Island,SI_18D,78.94,51.79,72.409,54.646,17.082,46.864,4.15,
11/29/2023,Snow Island,SI_18E,80.71,67.01,71.443,50.955,19.689,45.865,5.349,
12/6/2023,Dogs Head,DH_19A,77.13,53.73,64.388,45.15,16.947,44.544,4.968,
12/6/2023,Dogs Head,DH_19B,85.8,54.73,77.58,53.622,17.599,53.129,5.514,
12/6/2023,Dogs Head,DH_19C,84.79,51.62,67.934,46.137,19.82,44.814,5.216,
12/6/2023,Dogs Head,DH_19D,84.98,56.9,77.702,54.794,19.136,53.472,5.323,
12/6/2023,Dogs Head,DH_19E,80.69,59.29,81.654,57.26,20.205,56.343,6.004,
12/6/2023,Snow Island,SI_19A,83.49,56.74,56.475,36.795,16.762,35.929,4.047,
12/6/2023,Snow Island,SI_19B,85.96,65.2,70.298,50.909,18.666,48.123,4.562,
12/6/2023,Snow Island,SI_19C,88.32,58.54,67.35,43.271,17.12,41.067,3.94,
12/6/2023,Snow Island,SI_19D,86.46,58.74,79.28,53.862,22.88,50.353,5.544,
12/6/2023,Snow Island,SI_19E,81.55,60.73,56.15,38.851,14.282,37.357,4.107,
12/13/2023,Dogs Head,DH_20A,86.21,69.52,112.355,84.616,27.37,80.483,6.741,
12/13/2023,Dogs Head,DH_20B,81.07,51.03,71.476,49.84,20.429,45.456,5.06,
12/13/2023,Dogs Head,DH_20C,91.01,53.63,74.909,52.901,20.966,47.511,5.207,
12/13/2023,Dogs Head,DH_20D,74.21,62.62,73.072,53.763,16.551,50.253,5.071,
12/13/2023,Dogs Head,DH_20E,81.39,53.67,70.44,48.28,22.422,45.225,4.923,
12/13/2023,Snow Island,SI_20A,87.33,69.6,77.981,54.917,20.716,49.899,5.01,
12/13/2023,Snow Island,SI_20B,83.42,58.12,72.922,53.123,18.184,47.904,4.17,
12/13/2023,Snow Island,SI_20C,75.95,63.66,63.146,46.563,15.835,42.105,4.141,
12/13/2023,Snow Island,SI_20D,89.38,64.88,78.438,56.807,22.726,48.973,4.987,
12/13/2023,Snow Island,SI_20E,86.05,55.99,63.504,42.572,20.244,37.934,4.806,
12/20/2023,Dogs Head,DH_21A,76.59,56.11,60.966,42.278,18.77,39.534,4.664,
12/20/2023,Dogs Head,DH_21B,75.45,58.35,80.122,59.339,19.773,55.54,4.994,
12/20/2023,Dogs Head,DH_21C,77.34,58.21,70.611,48.271,21.911,45.07,5.449,
12/20/2023,Dogs Head,DH_21D,83.18,49.72,72.841,50.498,22.646,46.913,5.19,
12/20/2023,Dogs Head,DH_21E,91.11,61.6,84.238,57.517,24.633,53.93,6.2,
12/20/2023,Snow Island,SI_21A,90.1,53.83,69.004,50.927,18.145,45.58,4.35,
12/20/2023,Snow Island,SI_21B,82.88,62.35,68.375,48.738,18.774,44.78,3.98,
12/20/2023,Snow Island,SI_21C,78.86,58.55,59.03,48.852,15.752,47.104,3.228,
12/20/2023,Snow Island,SI_21D,80.86,56.23,65.61,48.682,17.919,35.364,4.553,
12/20/2023,Snow Island,SI_21E,92.42,64.38,74.849,52.806,22.25,42.828,4.52,
12/27/2023,Dogs Head,DH_22A,89.73,56.89,77.039,50.302,22.79,49.444,6.091,
12/27/2023,Dogs Head,DH_22B,89.82,59.94,77.271,53.255,22.85,51.975,5.957,
12/27/2023,Dogs Head,DH_22C,84.51,56.2,76.499,53.467,20.178,51.219,5.71,
12/27/2023,Dogs Head,DH_22D,92.35,63.65,89.132,59.733,24.483,59.659,7.111,
12/27/2023,Dogs Head,DH_22E,81.47,49.18,71.129,50.209,19.457,49.652,5.655,
12/27/2023,Snow Island,SI_22A,87.6,58.1,65.006,47.942,14.86,45.285,3.967,
12/27/2023,Snow Island,SI_22B,82.89,55.37,65.906,46.385,15.623,44.473,3.819,
12/27/2023,Snow Island,SI_22C,85.51,63.59,75.419,55.172,15.987,51.313,4.101,
12/27/2023,Snow Island,SI_22D,91.24,67,83.169,58.057,23.918,53.702,4.924,
12/27/2023,Snow Island,SI_22E,84.81,57.02,57.166,41.507,14.929,38.559,3.978,
1/3/2024,Dogs Head,DH_23A,106.41,55.65,89.959,65.361,17.921,61.945,5.466,
1/3/2024,Dogs Head,DH_23B,90.69,64.23,77.745,55.484,21.518,53.079,5.65,
1/3/2024,Dogs Head,DH_23C,79.23,49.91,59.77,38.85,15.161,37.895,4.338,
1/3/2024,Dogs Head,DH_23D,93.8,53.35,76.79,53.941,19.084,53.077,5.468,
1/3/2024,Dogs Head,DH_23E,79.98,57.09,79.352,57.532,17.35,56.871,5.6723,
1/3/2024,Snow Island,SI_23A,83.97,55.06,62.309,43.977,16.197,41.465,4.342,
1/3/2024,Snow Island,SI_23B,95.05,63.74,79.597,56.625,18.308,52.47,4.388,
1/3/2024,Snow Island,SI_23C,82.86,55.24,59.846,39.52,15.322,37.363,4.193,
1/3/2024,Snow Island,SI_23D,96.75,56.38,71.822,48.628,19.812,46.677,4.711,
1/3/2024,Snow Island,SI_23E,79.8,57.6,74.315,51.532,19.911,48.969,4.662,
1/10/2024,Dogs Head,DH_24A,93.16,55.81,70.191,45.218,21.106,44.854,4.93,
1/10/2024,Dogs Head,DH_24B,86.79,53.45,64.346,41.988,18.196,41.08,5.113,
1/10/2024,Dogs Head,DH_24C,91.83,62.1,83.494,52.299,29.129,49.882,7.018,
1/10/2024,Dogs Head,DH_24D,82.57,56.91,56.78,38.617,17.241,37.877,5.134,
1/10/2024,Dogs Head,DH_24E,90.39,54.62,63.985,42.829,19.595,42.064,5.435,
1/10/2024,Snow Island,SI_24A,86.38,57.96,58.268,39.041,16.93,35.97,4.694,
1/10/2024,Snow Island,SI_24B,88.04,53.88,57.351,40.486,14.224,38.867,3.881,
1/10/2024,Snow Island,SI_24C,82.67,63.66,78.907,54.374,22.739,51.123,5.952,
1/10/2024,Snow Island,SI_24D,89.66,53.53,53.063,36.24,14.738,34.02,3.675,
1/10/2024,Snow Island,SI_24E,80.37,59.4,60.651,41.185,14.192,38.516,4.091,
1/17/2024,Dogs Head,DH_25A,81.69,60.29,66.875,43.736,20.036,41.267,5.022,
1/17/2024,Dogs Head,DH_25B,81.79,57.41,68.506,42.725,25.458,40.605,5.311,
1/17/2024,Dogs Head,DH_25C,87.87,51.02,59.112,42.752,18.333,39.945,4.398,
1/17/2024,Dogs Head,DH_25D,80.76,62.68,70.27,51.655,36.823,48.68,5.214,
